Customer_ID,Age,Gender,Region,Plan,Tenure_Months,Monthly_Data_GB,Call_Minutes,SMS_Count,Download_Speed_Mbps,Latency_ms,Dropped_Calls_pct,Monthly_Bill_INR,Support_Calls,Satisfaction_Score,Churn
CUST10062,30,Male,North,Standard,41,6.79,483.4,31.0,5.0,97.2,1.55,638.24,0,1.6,No
CUST10063,62,Male,West,Standard,11,4.53,187.6,24.0,28.83,63.9,3.86,626.33,0,1.9,No
CUST10064,36,Male,East,Standard,52,,467.9,15.0,76.29,47.6,0.48,789.25,2,5.0,No
CUST10065,19,Female,East,Standard,43,,228.1,27.0,39.8,62.4,1.96,695.91,2,3.8,Yes
CUST10066,55,Female,East,Standard,37,5.8,693.2,30.0,18.24,38.8,2.36,580.08,0,2.7,No
CUST10067,53,Female,West,Standard,53,14.52,575.7,19.0,66.53,79.1,4.72,756.75,2,2.9,Yes
CUST10068,21,Female,North,Basic,66,1.63,447.2,46.0,48.2,44.4,3.65,306.9,1,2.9,No
CUST10069,20,Female,South,Basic,24,1.81,20.0,60.0,64.57,63.0,2.19,357.87,4,3.7,Yes
CUST10070,24,Female,South,Standard,31,11.22,253.0,48.0,52.15,-5.0,4.23,790.66,2,3.3,Yes
CUST10071,20,Male,South,Basic,14,6.95,553.8,20.0,54.88,61.2,1.99,541.07,0,4.0,No
CUST10072,50,Female,West,Standard,47,7.87,648.3,42.0,53.45,56.5,3.91,629.36,1,,Yes
CUST10073,24,Male,South,Premium,29,2.82,629.7,26.0,58.46,55.2,1.31,947.8,3,5.0,Yes
CUST10074,49,Male,West,Basic,25,6.59,143.4,10.0,82.16,54.1,3.98,440.88,1,3.1,No
CUST10075,27,Male,West,Basic,51,24.59,484.3,39.0,62.57,45.8,2.35,644.51,3,3.3,No
CUST10076,68,Male,South,Basic,30,11.42,612.8,27.0,24.29,47.8,1.67,440.41,0,3.0,Yes
CUST10077,55,Female,West,Basic,34,7.47,131.5,151.0,54.7,78.7,2.56,417.59,2,2.9,No
CUST10078,37,Female,East,Standard,32,5.03,428.6,68.0,65.12,53.3,3.11,764.36,0,2.2,No
CUST10079,40,Female,West,Standard,19,5.17,479.3,40.0,66.04,42.4,2.26,659.41,1,3.9,No
CUST10080,21,Female,South,Standard,10,1.68,375.9,29.0,41.6,46.7,3.41,698.8,0,2.8,No
CUST10081,20,Male,South,Standard,60,7.9,96.6,28.0,65.47,72.6,2.16,615.16,2,3.9,No
CUST10082,45,Female,South,Standard,7,11.58,371.4,12.0,61.92,65.8,3.48,709.06,2,3.3,No
CUST10083,19,Female,North,Premium,24,2.4,371.1,7.0,86.59,64.0,3.29,872.12,0,3.3,No
CUST10084,51,Male,South,Basic,49,4.35,403.3,13.0,36.75,50.9,2.73,367.05,1,3.5,No
CUST10085,37,Female,West,Basic,10,3.15,328.6,24.0,40.39,64.2,2.31,464.06,2,3.6,No
CUST10086,25,Female,East,Basic,48,3.57,350.3,6.0,43.41,44.7,2.97,417.68,0,2.9,No
CUST10087,45,Female,North,Standard,53,6.92,422.9,17.0,40.65,50.8,3.41,672.97,3,2.8,No
CUST10088,46,Female,South,Standard,48,1.72,509.6,21.0,34.65,70.5,5.07,618.14,3,1.0,No
CUST10089,56,Female,North,Basic,22,9.97,375.2,21.0,6.56,69.0,3.83,446.68,2,1.3,No
CUST10090,28,Female,North,Standard,2,10.91,356.3,15.0,41.48,39.3,3.87,731.02,2,2.7,No
CUST10091,46,Male,south,Basic,64,5.68,446.6,19.0,53.54,41.3,6.2,487.14,0,2.5,Yes
CUST10092,61,Female,South,Standard,24,1.33,84.2,82.0,40.6,56.7,3.37,512.6,2,2.4,Yes
CUST10093,32,Male,South,Standard,58,3.5,515.9,39.0,77.03,82.6,3.33,624.25,1,2.9,No
CUST10094,61,Male,East,Standard,15,14.9,429.9,17.0,48.2,24.4,3.57,747.15,0,2.9,No
CUST10095,55,Female,North,Basic,12,1.1,437.1,23.0,67.37,59.5,1.69,400.16,2,4.0,No
CUST10096,40,Male,South,Standard,57,5.33,602.9,24.0,51.92,33.0,2.31,703.17,2,4.2,No
CUST10097,63,Female,East,Standard,68,3.1,78.5,14.0,60.4,44.9,2.24,682.31,2,4.1,No
CUST10098,68,Male,East,Basic,62,11.28,74.7,14.0,52.19,49.2,3.51,449.91,1,3.2,No
CUST10099,30,Male,West,Basic,55,4.31,479.3,50.0,68.53,48.3,2.61,395.88,1,3.0,No
CUST10100,68,Male,East,Premium,18,8.69,428.7,18.0,48.84,46.5,2.95,987.64,3,3.1,Yes
CUST10101,18,Male,South,Premium,66,9.66,460.6,11.0,55.44,55.1,4.0,1070.14,2,2.8,No
CUST10102,24,Female,West,Standard,49,22.06,346.8,24.0,53.49,46.4,3.75,741.1,2,3.0,Yes
CUST10103,20,Male,West,Basic,13,5.86,549.6,27.0,43.68,31.6,2.62,430.71,2,3.7,No
CUST10104,37,Female,East,Premium,10,8.54,597.9,6.0,54.07,67.5,2.06,1010.32,2,4.2,Yes
CUST10105,66,Female,West,Standard,63,2.55,517.1,24.0,81.52,67.0,4.05,750.12,1,3.7,No
CUST10106,49,Male,West,Standard,20,,383.1,45.0,43.94,68.5,3.65,719.42,2,2.1,No
CUST10107,50,Female,West,Standard,56,4.08,50.6,34.0,54.29,30.3,1.03,726.21,1,4.8,No
CUST10108,22,Male,North,Basic,10,4.64,568.5,117.0,66.87,59.8,2.46,494.6,1,4.0,Yes
CUST10109,44,Male,East,Basic,21,6.59,649.9,59.0,65.1,65.8,2.98,435.03,6,2.9,Yes
CUST10110,37,Female,South,Premium,21,2.42,546.0,68.0,48.18,38.5,3.66,951.93,3,3.8,No
CUST10111,42,Female,East,Standard,21,7.76,271.7,174.0,12.25,55.1,3.8,677.46,2,2.2,No
CUST10112,31,Female,East,Basic,49,12.54,551.3,42.0,55.75,53.1,3.11,460.17,2,2.6,No
CUST10113,28,Male,West,Basic,66,8.09,584.9,27.0,14.71,84.5,3.44,494.52,0,2.2,No
CUST10114,67,Male,West,Standard,66,2.38,710.6,49.0,70.05,85.8,2.87,675.99,1,3.2,No
CUST10115,47,Female,South,Basic,54,6.17,272.3,17.0,50.54,28.4,2.06,448.96,5,4.0,No
CUST10116,39,Female,East,Premium,15,10.83,389.2,26.0,63.0,94.9,2.51,952.09,1,2.9,Yes
CUST10117,21,Female,East,Standard,70,1.97,564.5,16.0,34.47,40.4,2.82,607.61,0,2.9,Yes
CUST10118,57,Male,South,Standard,40,3.32,440.3,32.0,24.71,70.7,2.76,786.81,3,2.9,No
CUST10119,42,Female,North,Standard,40,11.82,228.9,16.0,51.91,70.5,0.73,710.14,1,3.8,Yes
CUST10120,38,Male,North,Standard,51,7.97,504.6,15.0,47.5,39.1,2.36,654.21,1,3.8,No
CUST10121,52,Male,West,Standard,56,8.74,534.2,33.0,40.63,62.9,2.86,780.15,2,3.2,Yes
CUST10122,24,Male,South,Standard,69,22.39,445.8,22.0,49.27,53.3,2.49,798.84,2,2.8,No
CUST10123,45,Male,West,Basic,42,9.07,469.5,6.0,89.51,63.9,2.53,485.22,1,3.5,No
CUST10124,62,Female,South,Standard,44,10.25,383.4,9.0,60.52,58.7,3.34,702.91,2,2.0,Yes
CUST10125,42,Male,West,Basic,54,38.94,696.1,11.0,63.74,74.1,1.61,615.11,0,4.0,No
CUST10126,18,Female,South,Standard,19,5.82,267.9,13.0,60.66,56.2,1.01,674.59,1,3.5,No
CUST10127,29,Male,West,Basic,23,3.98,324.3,33.0,70.19,52.3,2.42,346.83,1,3.9,No
CUST10128,20,Female,North,Basic,46,8.83,432.0,29.0,45.15,72.5,3.64,447.14,1,2.8,No
CUST10129,44,Male,East,Basic,5,8.89,588.2,52.0,17.18,64.3,4.66,468.62,0,2.3,Yes
CUST10130,36,Male,West,Standard,24,4.75,160.5,42.0,45.17,66.7,3.66,779.28,2,2.1,No
CUST10131,24,Male,West,Basic,52,3.42,194.1,52.0,60.18,44.4,1.18,424.25,1,4.2,No
CUST10132,53,Female,West,Premium,71,30.01,63.2,38.0,33.45,38.3,2.54,1000.68,0,4.3,No
CUST10133,27,Male,North,Standard,38,8.27,435.9,28.0,45.35,45.9,3.08,693.45,1,4.3,No
CUST10134,35,Female,South,Basic,29,4.15,228.7,53.0,37.62,45.1,3.0,574.57,3,3.8,No
CUST10135,69,Female,North,Standard,32,12.13,360.8,47.0,70.53,67.6,3.39,769.43,1,3.5,Yes
CUST10136,21,Male,North,Basic,50,6.23,549.0,32.0,59.24,70.6,1.79,391.78,2,3.0,No
CUST10137,30,Female,East,Premium,40,5.67,314.5,60.0,57.77,52.5,2.87,1015.53,0,3.9,No
CUST10138,34,Male,East,Standard,2,9.64,471.6,5.0,57.32,77.9,3.26,666.03,3,2.8,Yes
CUST10139,44,Male,West,Standard,39,2.89,376.1,20.0,47.44,76.9,3.71,591.88,1,2.9,No
CUST10140,30,Male,West,Basic,29,8.41,551.0,20.0,50.96,58.9,1.91,430.3,3,3.2,Yes
CUST10141,68,Female,East,Standard,51,23.18,515.5,55.0,30.22,41.8,2.42,793.11,2,3.2,Yes
CUST10142,18,Female,West,Standard,64,9.05,305.5,74.0,15.2,80.2,0.1,600.33,2,3.3,No
CUST10143,67,Male,North,Premium,70,5.24,399.6,9.0,50.25,54.0,2.12,917.24,0,3.7,No
CUST10144,45,Male,North,Standard,44,4.81,617.9,66.0,52.86,57.0,2.22,678.43,1,3.8,No
CUST10145,19,Female,East,Standard,27,5.12,500.8,11.0,66.14,49.6,1.68,657.27,1,3.8,No
CUST10146,24,Male,West,Basic,32,5.67,178.5,11.0,71.57,40.8,2.98,454.73,0,3.2,No
CUST10147,23,Female,North,Basic,13,5.23,548.0,21.0,71.55,31.5,2.74,363.57,0,5.0,No
CUST10148,32,Female,South,Standard,68,12.13,234.8,20.0,33.03,65.1,0.31,761.06,0,5.0,Yes
CUST10149,35,Male,East,Standard,62,2.17,684.3,8.0,42.72,42.5,3.04,596.91,0,3.6,No
CUST10150,51,Female,North,Basic,62,11.71,614.3,39.0,55.21,104.0,1.78,559.61,2,2.2,No
CUST10151,34,Male,South,Premium,24,5.22,482.2,39.0,85.98,37.6,3.33,885.95,3,3.7,Yes
CUST10152,55,Female,West,Premium,24,8.54,458.3,51.0,70.2,34.9,1.39,940.15,1,4.8,Yes
CUST10153,33,Male,East,Basic,62,3.21,392.4,18.0,64.79,63.2,2.83,441.22,3,4.2,No
CUST10154,31,Female,North,Standard,40,15.86,552.1,24.0,42.18,79.5,2.49,835.69,3,2.2,Yes
CUST10155,32,Female,West,Basic,51,15.02,363.3,24.0,34.75,56.0,3.13,506.45,1,2.9,No
CUST10156,35,Male,South,Standard,36,12.48,472.4,80.0,59.83,64.2,2.94,754.84,3,3.4,Yes
CUST10157,61,Male,West,Basic,32,2.5,586.9,3.0,31.49,25.5,2.52,414.96,1,4.1,No
CUST10158,30,Female,South,Standard,46,11.46,328.9,13.0,44.42,44.2,1.11,661.31,0,3.8,Yes
CUST10159,32,Female,East,Standard,59,8.7,319.1,25.0,46.28,37.8,1.18,674.24,1,3.3,Yes
CUST10160,67,Male,South,Standard,25,2.36,215.0,11.0,71.89,24.7,2.16,596.5,1,4.8,No
CUST10161,51,Male,South,Basic,59,6.58,238.4,20.0,42.68,56.9,2.79,368.15,2,,No
CUST10162,27,Male,West,Premium,18,8.47,100.9,22.0,11.41,19.1,2.13,1021.92,3,3.5,No
CUST10163,63,Female,North,Basic,30,9.6,561.4,15.0,55.57,33.8,3.49,394.83,2,3.8,No
CUST10164,27,Female,North,Basic,66,7.5,755.6,26.0,37.51,46.4,2.49,461.58,0,3.1,No
CUST10165,26,Male,South,Standard,69,8.08,686.6,38.0,48.64,41.7,1.74,625.88,2,3.5,No
CUST10166,41,Male,East,Standard,67,17.42,137.3,21.0,46.7,61.3,2.49,769.82,1,3.8,No
CUST10167,53,Male,West,Premium,23,14.83,560.5,18.0,43.89,59.9,3.05,1011.1,2,3.3,No
CUST10168,27,Male,West,Premium,61,1.04,686.0,22.0,59.86,69.3,3.16,1032.6,2,3.4,No
CUST10169,57,Female,South,Basic,68,5.44,347.8,24.0,25.01,67.0,4.87,449.44,2,2.8,No
CUST10170,26,Female,South,Premium,71,6.01,448.3,7.0,40.24,73.3,2.06,1053.03,3,2.5,No
CUST10171,58,female,North,Basic,2,2.14,68.6,34.0,58.26,55.0,2.72,370.28,0,3.2,No
CUST10172,22,Male,East,Standard,54,7.11,478.0,18.0,38.79,59.9,3.27,694.75,1,3.0,No
CUST10173,42,Male,West,Basic,72,15.05,238.6,59.0,23.87,63.2,2.77,435.34,1,2.4,No
CUST10174,51,Male,East,Premium,56,3.3,465.9,37.0,58.03,57.3,2.25,946.05,1,4.1,Yes
CUST10175,31,Male,East,Basic,17,8.32,149.0,56.0,64.85,48.6,1.1,434.5,0,4.2,No
CUST10176,49,Female,South,Basic,55,3.69,527.7,12.0,47.33,49.7,2.24,381.22,3,3.0,No
CUST10177,53,Male,West,Standard,8,4.32,614.4,19.0,18.59,41.9,1.62,608.07,0,3.4,No
CUST10178,51,Female,South,Premium,35,,289.0,10.0,58.59,61.7,0.9,976.08,1,4.1,No
CUST10179,38,Male,North,Premium,46,4.7,225.4,15.0,23.1,53.5,1.92,848.51,3,3.7,No
CUST10180,58,Female,South,Standard,33,9.03,41.9,59.0,52.63,44.4,1.65,645.08,1,4.2,Yes
CUST10181,56,Male,North,Premium,51,1.98,382.0,69.0,34.69,44.4,3.44,995.39,4,3.3,No
CUST10182,34,Male,North,Premium,18,22.43,325.3,11.0,30.6,35.6,3.46,995.66,1,3.3,No
CUST10183,56,Male,North,Standard,44,9.89,150.8,18.0,41.37,70.7,1.81,633.09,2,3.1,No
CUST10184,65,Female,South,Basic,47,5.94,511.5,23.0,45.25,56.3,2.51,533.14,2,2.9,No
CUST10185,60,Female,East,Standard,46,9.72,349.0,37.0,38.34,41.2,0.76,672.31,0,,No
CUST10186,56,Female,South,Standard,21,2.67,236.4,7.0,56.83,67.9,2.26,682.68,1,,No
CUST10187,57,Female,South,Standard,22,14.42,330.2,8.0,41.31,46.0,3.24,770.85,0,4.1,No
CUST10188,59,Male,West,Basic,19,5.42,622.8,35.0,62.7,32.5,3.71,467.96,1,4.4,Yes
CUST10189,33,Male,West,Standard,34,5.86,538.5,6.0,52.22,71.3,2.02,600.43,1,3.7,No
CUST10190,55,Male,South,Basic,43,4.86,406.6,18.0,37.54,46.4,3.96,415.45,3,3.1,No
CUST10191,28,Male,South,Premium,27,4.58,541.4,27.0,35.01,48.5,1.13,887.48,3,3.7,No
CUST10192,36,Male,West,Basic,30,10.5,221.0,33.0,23.29,55.7,1.43,596.55,0,2.6,Yes
CUST10193,66,Male,North,Basic,21,7.9,435.8,22.0,52.36,73.3,3.58,358.68,2,2.7,No
CUST10194,32,Female,South,Premium,16,10.21,456.5,19.0,42.68,55.3,4.64,952.63,2,2.6,No
CUST10195,61,Male,West,Basic,48,6.65,345.4,44.0,12.42,35.8,3.34,381.67,0,2.9,No
CUST10196,39,Male,South,Basic,59,9.33,508.4,30.0,39.96,63.7,2.76,372.66,0,3.3,Yes
CUST10197,28,Male,East,Standard,21,,289.5,16.0,34.48,47.2,0.39,753.93,3,4.5,No
CUST10198,23,Female,East,Premium,62,28.48,521.8,25.0,71.64,85.2,0.58,1253.11,1,3.6,Yes
CUST10199,46,Female,East,Basic,42,2.41,529.3,32.0,22.46,55.0,2.94,387.29,3,2.4,No
CUST10200,41,Female,South,Basic,13,15.17,20.0,82.0,26.38,19.2,2.41,417.4,2,4.5,No
CUST10201,44,female,North,,27,16.27,644.3,43.0,64.65,60.7,1.58,623.59,2,4.3,No
CUST10202,20,Male,South,Premium,1,3.84,20.0,57.0,68.35,86.1,2.87,958.61,2,2.9,Yes
CUST10203,31,Male,North,Standard,3,28.48,319.1,16.0,36.83,80.2,2.93,802.48,1,2.5,No
CUST10204,18,Female,West,Basic,25,12.77,614.6,17.0,38.52,84.3,3.84,439.8,3,2.2,No
CUST10205,33,Male,South,Basic,33,12.57,372.9,21.0,57.24,38.7,2.95,486.6,2,3.7,Yes
CUST10206,66,Male,East,Basic,58,6.81,166.1,22.0,13.09,69.6,4.15,461.59,1,2.2,No
CUST10207,25,Male,West,Basic,10,5.81,233.1,12.0,20.08,43.4,2.81,451.63,3,4.4,No
CUST10208,53,Male,West,Standard,61,5.84,614.8,60.0,43.79,58.6,2.67,666.65,2,3.3,No
CUST10209,18,Male,South,Basic,17,8.62,84.1,46.0,71.25,34.6,3.97,390.13,2,4.0,No
CUST10210,47,Female,South,Standard,10,16.62,633.2,20.0,41.46,44.7,1.72,785.34,0,2.8,No
CUST10211,65,Female,West,Standard,51,7.52,420.1,38.0,49.51,44.2,5.9,694.81,0,2.2,No
CUST10212,35,Male,East,Standard,56,3.7,215.4,29.0,65.01,69.4,3.21,720.06,0,3.9,No
CUST10213,28,Male,West,Basic,44,11.43,325.0,41.0,-10.0,67.8,3.22,511.03,2,3.7,No
CUST10214,47,Female,West,Premium,9,12.17,246.9,10.0,39.35,59.4,3.38,943.82,1,1.0,Yes
CUST10215,32,Female,West,Standard,9,10.23,585.9,22.0,47.75,33.4,4.86,631.5,1,3.3,Yes
CUST10216,64,Female,North,Standard,29,10.85,561.8,24.0,75.33,50.0,3.67,672.55,1,4.6,Yes
CUST10217,62,Female,East,Basic,33,5.61,120.6,38.0,25.17,43.1,1.03,374.57,1,2.6,No
CUST10218,51,Male,North,Basic,72,3.66,357.4,16.0,63.41,68.9,4.34,462.5,2,3.6,No
CUST10219,51,Male,East,Premium,21,3.8,274.6,4.0,32.73,73.9,2.43,991.12,0,,No
CUST10220,49,Male,West,Standard,14,2.31,662.8,12.0,49.54,71.9,2.92,723.32,3,3.5,Yes
CUST10221,56,Male,South,Basic,69,7.8,187.0,24.0,44.36,42.9,1.39,467.61,1,3.9,No
CUST10222,41,Male,South,Standard,12,6.33,718.8,26.0,33.63,15.0,3.38,698.46,2,2.3,Yes
CUST10223,68,Male,North,Standard,2,5.02,424.0,80.0,33.25,26.7,2.08,745.11,1,4.0,Yes
CUST10224,35,Female,West,Premium,31,0.98,220.9,37.0,52.15,77.7,2.91,980.72,1,3.6,Yes
CUST10225,18,Female,North,Basic,29,2.97,308.1,26.0,62.93,48.6,2.49,420.57,2,4.0,No
CUST10226,54,Female,North,Premium,45,13.85,285.7,24.0,46.05,43.0,4.92,1113.52,1,3.1,Yes
CUST10227,52,Male,North,Basic,64,4.34,200.6,53.0,49.05,81.3,4.98,431.37,2,1.9,No
CUST10228,69,Male,North,Standard,68,8.45,447.1,16.0,56.57,75.2,2.85,682.96,1,2.0,No
CUST10229,38,Female,South,Standard,21,2.71,209.0,22.0,33.43,55.4,2.87,619.18,1,3.4,No
CUST10230,40,Female,South,Basic,71,17.03,37.5,11.0,59.1,50.3,2.39,539.85,0,4.7,Yes
CUST10231,47,Female,South,Basic,46,6.09,361.7,66.0,60.29,52.9,4.02,503.58,2,3.7,No
CUST10232,38,Female,North,Standard,6,8.07,105.5,32.0,87.05,58.6,2.44,694.64,2,3.0,No
CUST10233,58,Male,North,Premium,68,30.32,294.6,15.0,42.36,80.6,2.34,1202.86,3,2.1,Yes
CUST10234,40,Female,South,Standard,10,17.92,266.4,23.0,41.13,61.8,3.88,648.17,1,2.2,No
CUST10235,58,Male,North,Premium,43,5.48,273.2,35.0,59.53,66.6,2.21,978.83,1,2.6,No
CUST10236,40,Male,East,Premium,57,4.55,790.2,21.0,60.29,73.7,2.76,974.09,1,3.2,No
CUST10237,29,Female,North,Standard,18,5.41,440.2,17.0,39.97,36.3,1.06,641.48,3,4.3,No
CUST10238,69,Male,South,Standard,20,9.31,474.2,16.0,41.95,67.1,3.57,835.97,1,1.9,Yes
CUST10239,45,Male,South,Basic,35,6.24,110.2,31.0,56.12,50.3,4.93,432.8,4,3.2,Yes
CUST10240,54,Male,South,Basic,64,5.17,312.3,19.0,35.59,15.0,3.59,407.59,1,3.8,No
CUST10241,48,Male,North,Premium,17,17.35,468.8,18.0,41.84,20.9,4.41,1054.53,0,2.9,Yes
CUST10242,36,Male,North,Standard,48,6.21,245.6,10.0,49.34,38.7,1.87,576.11,1,3.8,No
CUST10243,68,Male,West,Basic,33,29.81,593.5,26.0,62.94,63.5,3.06,536.07,3,2.2,No
CUST10244,37,Male,North,Standard,9,7.09,213.5,22.0,38.93,56.8,1.76,745.62,3,3.3,Yes
CUST10245,69,Female,South,Standard,52,21.34,378.5,20.0,20.36,57.9,2.55,742.45,0,2.8,No
CUST10246,40,Male,South,Premium,60,8.43,324.5,28.0,19.25,86.2,3.65,953.99,2,2.0,No
CUST10247,19,Female,South,Standard,42,12.5,459.6,41.0,29.11,34.7,2.91,796.02,1,3.5,Yes
CUST10248,19,Male,South,Standard,13,4.17,314.7,40.0,28.3,54.6,1.25,747.73,2,3.6,Yes
