customer_id,age,gender,region,plan,tenure_months,monthly_data_gb,call_minutes,sms_count,download_speed_mbps,latency_ms,dropped_calls_pct,monthly_bill_inr,support_calls,satisfaction_score,churn,monthly_data_gb_norm,call_minutes_norm,download_speed_mbps_norm,latency_ms_norm,monthly_bill_inr_norm
CUST10013,66,Female,North,Standard,12,10.74,260.7,22.0,50.26,40.5,1.79,726.01,1,3.3,No,0.22452265930526796,0.26041328572974143,0.5355579221393917,0.28651685393258425,0.449170254566735
CUST10014,38,Male,South,Premium,67,4.6,334.7,44.0,56.69,52.3,2.73,1011.38,5,3.6,No,0.08327582240625717,0.34047387211944175,0.6116435924742634,0.4191011235955056,0.7473874514065963
CUST10015,61,Male,South,Standard,47,9.62,443.2,18.0,80.79,84.5,3.48,722.23,0,3.7,No,0.19875776397515524,0.45786000216379963,0.8968169447402674,0.7808988764044944,0.4452200810935084
CUST10016,35,Female,North,Basic,23,9.66,436.8,21.0,52.16,34.8,1.2,470.55,0,5.0,No,0.19967793880837356,0.45093584334090664,0.5580404685835995,0.2224719101123595,0.18220958909835727
CUST10017,67,Male,South,Standard,30,4.68,413.6,11.0,55.28,36.3,2.31,636.61,1,3.1,No,0.0851161720726938,0.4258357676079196,0.594959176428825,0.23932584269662918,0.3557455168666138
CUST10018,63,Female,East,Standard,53,3.22,424.5,16.0,31.84,34.2,4.46,456.89,3,3.0,No,0.05152979066022544,0.43762847560315915,0.3175955508223879,0.21573033707865172,0.1679346235839987
CUST10019,34,Male,North,Premium,52,3.1,391.4,84.0,28.7,82.6,1.62,1124.09,2,2.3,No,0.04876926616057051,0.4018175916910094,0.2804401845935392,0.7595505617977527,0.8651715921916148
CUST10020,43,Female,West,Standard,34,7.07,170.4,26.0,71.74,47.6,3.76,670.81,4,3.3,Yes,0.1400966183574879,0.1627177323379855,0.7897290261507512,0.36629213483146067,0.39148518162437823
CUST10021,59,Male,West,Standard,22,8.27,337.0,12.0,34.15,54.6,2.27,702.52,2,2.7,Yes,0.16770186335403722,0.3429622416964189,0.34492959413087204,0.4449438202247191,0.42462274798311256
CUST10022,29,Female,South,Standard,48,3.99,594.6,20.0,32.34,48.6,3.4,648.4,1,2.5,No,0.06924315619967794,0.6216596343178622,0.3235120104129689,0.3775280898876405,0.36806629603310625
CUST10023,19,Female,North,Premium,48,6.8,183.7,8.0,47.41,39.9,4.01,962.96,0,2.8,No,0.13388543823326432,0.17710699989181,0.50183410247308,0.2797752808988764,0.6967876102495507
CUST10024,33,Male,East,Premium,44,9.69,395.9,12.0,46.65,51.2,3.62,1092.08,1,3.0,Yes,0.20036806993328726,0.406686140863356,0.49284108389539694,0.4067415730337079,0.8317205200016721
CUST10025,48,Female,North,Standard,6,9.99,282.4,64.0,34.46,94.3,3.8,671.93,1,2.2,No,0.20726938118242463,0.283890511738613,0.3485977990770323,0.8910112359550562,0.3926556033942232
CUST10026,25,Female,South,Basic,35,18.33,450.0,22.0,43.43,77.3,1.53,482.91,1,3.5,No,0.3991258339084425,0.46521692091312344,0.4547390841320553,0.7,0.19512602934414586
CUST10027,35,Female,West,Standard,45,15.33,360.0,92.0,66.44,41.4,4.03,653.67,1,3.4,No,0.3301127214170692,0.36784593746619065,0.7270145544905927,0.296629213483146,0.3735735484680015
CUST10028,65,Male,West,Basic,69,3.49,695.9,23.0,35.91,65.4,1.86,378.27,1,2.5,No,0.05774097078444904,0.7312560856864655,0.36575553188971716,0.5662921348314608,0.08577519541863478
CUST10029,21,Male,West,Basic,38,19.97,521.2,24.0,27.09,41.7,3.09,424.86,1,3.5,No,0.4368530020703933,0.5422481878178081,0.2613891847118684,0.30000000000000004,0.13446265100530874
CUST10030,20,Male,South,Standard,25,4.73,193.9,38.0,48.2,26.6,3.08,712.13,3,3.9,No,0.0862663906142167,0.18814237801579575,0.5111821086261981,0.13033707865168542,0.4346653847761569
CUST10031,40,Female,East,Standard,41,13.19,550.8,4.0,55.38,71.3,3.33,882.12,2,3.6,Yes,0.28088336783988954,0.5742724223736881,0.5961424683469412,0.6325842696629214,0.6123082389332444
CUST10032,18,Female,East,Premium,13,6.99,290.6,28.0,38.69,73.6,3.17,970.77,3,2.3,Yes,0.1382562686910513,0.2927620902304447,0.3986510472133475,0.6584269662921348,0.7049492120553442
CUST10033,19,Male,South,Basic,7,5.11,326.1,24.0,24.27,71.7,1.87,337.99,1,2.0,No,0.09500805152979067,0.3311695337011793,0.22802035262099157,0.6370786516853932,0.04368181248171218
CUST10034,27,Male,East,Standard,49,2.06,486.5,69.0,36.83,47.5,1.32,710.86,1,3.7,No,0.024844720496894408,0.5047062641999351,0.3766418175363862,0.3651685393258427,0.4333382100907078
CUST10035,23,Female,North,Standard,72,5.98,341.5,48.0,47.18,52.3,3.76,644.9,3,3.7,No,0.11502185415228892,0.34783079086876556,0.4991125310614128,0.4191011235955056,0.36440872800234086
CUST10036,60,Female,North,Basic,61,2.43,590.7,11.0,65.49,67.0,3.0,485.04,1,3.4,Yes,0.03335633770416379,0.6174402250351618,0.7157732812684888,0.5842696629213483,0.19735192074572594
CUST10037,24,Male,South,Basic,43,12.54,290.6,59.0,32.45,61.3,4.06,458.73,3,2.3,No,0.26593052680009194,0.2927620902304447,0.3248136315228967,0.5202247191011236,0.16985745934874394
CUST10038,45,Male,North,Standard,3,6.51,318.6,20.0,46.73,48.7,2.75,721.77,0,2.9,Yes,0.12721417069243152,0.32305528508060155,0.49378771742988986,0.37865168539325844,0.44473937215232207
CUST10039,54,Female,North,Basic,72,3.98,311.9,13.0,58.13,29.1,1.25,413.09,1,5.0,No,0.06901311249137335,0.3158065563128854,0.6286829960951367,0.15842696629213485,0.12216277222756343
CUST10040,50,Female,West,Standard,33,8.14,328.2,28.0,12.28,56.8,3.86,739.52,1,1.7,No,0.16471129514607774,0.33344152331494104,0.0861436516388593,0.46966292134831455,0.4632884671654893
CUST10041,52,Female,West,Standard,21,4.17,627.9,21.0,63.51,72.3,2.39,661.51,1,3.0,No,0.07338394294916033,0.6576868981932273,0.6923441012897881,0.643820224719101,0.381766500856916
CUST10042,36,Female,East,Premium,65,4.44,543.2,72.0,30.26,35.8,3.18,948.32,1,3.5,Yes,0.07959512307338394,0.5660499837715028,0.2988995385161519,0.23370786516853928,0.681488525686578
CUST10043,64,Male,West,Standard,54,11.06,737.8,31.0,52.98,65.2,2.09,704.42,0,2.4,No,0.23188405797101447,0.776587687980093,0.5677434623121523,0.5640449438202247,0.4266082849140994
CUST10044,21,Male,West,Basic,54,6.52,838.2,28.0,51.7,60.3,4.61,368.17,1,3.3,No,0.1274442144007361,0.8852104295142271,0.5525973257602651,0.5089887640449438,0.07522049910128331
CUST10045,23,Male,North,Premium,20,20.71,244.5,46.0,64.27,67.0,1.84,1095.1,0,4.1,No,0.4538762364849321,0.24288650870929354,0.7013371198674713,0.5842696629213483,0.8348764787025038
CUST10046,62,Male,South,Premium,72,4.89,442.7,53.0,56.26,69.0,2.43,880.07,1,3.8,No,0.08994708994708993,0.45731905225576114,0.6065554372263637,0.6067415730337079,0.6101659490866532
CUST10047,21,Male,South,Standard,33,12.8,218.3,42.0,12.34,43.9,2.92,701.37,2,3.1,No,0.271911663216011,0.21454073352807532,0.08685362678972902,0.3247191011235955,0.4234209756301468
CUST10048,27,Male,North,Basic,39,7.12,290.0,66.0,36.23,29.1,1.6,483.49,0,3.9,No,0.1412468368990108,0.2921129503407985,0.36954206602768896,0.15842696629213485,0.19573214061781555
CUST10049,27,Male,West,Standard,55,11.22,316.6,38.0,50.07,46.5,3.16,732.99,1,2.8,No,0.2355647573038877,0.32089148544844753,0.533309667494971,0.3539325842696629,0.4564644902395185
CUST10050,19,Female,South,Basic,48,5.0,239.7,28.0,48.2,69.2,4.57,461.47,3,2.3,No,0.09247757073844028,0.23769338959212377,0.5111821086261981,0.6089887640449438,0.17272081260711455
CUST10051,24,Male,South,Basic,13,6.47,240.7,58.0,55.16,46.3,2.26,434.24,3,3.2,Yes,0.12629399585921325,0.2387752894082008,0.5935392261270854,0.35168539325842696,0.14426493332775994
CUST10052,47,Female,North,Basic,22,6.2,404.0,23.0,59.84,43.9,3.23,500.54,1,3.8,No,0.12008281573498965,0.41544952937358004,0.6489172878949236,0.3247191011235955,0.21354972202482972
CUST10053,52,Male,North,Standard,27,3.88,211.0,25.0,57.13,25.9,0.1,723.14,0,5.0,No,0.06671267540832757,0.20664286487071298,0.6168500769139746,0.12247191011235953,0.4461710487815074
CUST10054,22,Male,West,Standard,69,10.28,581.6,82.0,44.79,83.0,2.76,735.22,3,3.6,Yes,0.21394064872325735,0.6075949367088608,0.47083185421843565,0.7640449438202247,0.4587948835848348
CUST10055,67,Female,North,Standard,52,10.2,264.8,76.0,20.3,68.2,2.46,761.22,1,2.9,No,0.21210029905682073,0.2648490749756573,0.1810436634717785,0.597752808988764,0.4859653889562347
CUST10056,22,Female,North,Standard,27,6.51,935.7,24.0,41.17,67.3,1.9,749.25,2,3.8,No,0.12721417069243152,0.9906956615817376,0.42799668678262925,0.5876404494382023,0.4734565062910171
CUST10057,53,Female,South,Standard,53,18.16,348.8,18.0,54.25,70.5,3.99,733.79,4,2.5,Yes,0.3952150908672647,0.3557286595261279,0.5827712696722281,0.6235955056179775,0.45730050578940773
CUST10058,59,Male,South,Standard,54,17.15,443.0,68.0,31.64,64.2,2.44,677.99,1,2.7,No,0.37198067632850235,0.45764362220058424,0.3152289669861555,0.5528089887640449,0.3989884211846341
CUST10059,45,Male,East,Basic,29,5.24,196.8,43.0,57.47,51.1,2.6,453.56,1,3.9,No,0.09799861973775015,0.19127988748241914,0.6208732694355698,0.4056179775280899,0.16445470885758479
CUST10060,43,Male,South,Basic,30,8.52,737.1,31.0,61.63,52.4,2.39,480.15,2,3.5,No,0.17345295606165168,0.7758303581088392,0.6700982132292036,0.4202247191011236,0.19224177569702797
CUST10061,23,Female,North,Standard,65,4.46,631.5,20.0,49.9,48.2,0.69,735.74,2,4.3,No,0.08005521048999309,0.6615817375311046,0.5312980712341734,0.3730337078651686,0.45933829369226276
CUST10062,30,Male,North,Standard,41,6.79,483.4,31.0,5.0,97.2,1.55,638.24,0,1.6,No,0.13365539452495973,0.5013523747700963,0.0,0.9235955056179775,0.3574488985495131
CUST10063,62,Male,West,Standard,11,4.53,187.6,24.0,28.83,63.9,3.86,626.33,0,1.9,No,0.08166551644812514,0.18132640917451046,0.28197846408709026,0.549438202247191,0.34500271705053726
CUST10064,36,Male,East,Standard,52,6.51,467.9,15.0,76.29,47.6,0.48,789.25,2,5.0,No,0.12721417069243152,0.4845829276209023,0.8435688084250385,0.36629213483146067,0.5152572837854785
CUST10065,19,Female,East,Standard,43,6.51,228.1,27.0,39.8,62.4,1.96,695.91,2,3.8,Yes,0.12721417069243152,0.22514335172563021,0.4117855875044373,0.5325842696629214,0.41771516950215276
CUST10066,55,Female,East,Standard,37,5.8,693.2,30.0,18.24,38.8,2.36,580.08,0,2.7,No,0.11088106740280652,0.7283349561830575,0.15666784995858477,0.2674157303370786,0.29667056807256625
CUST10067,53,Female,West,Standard,53,14.52,575.7,19.0,66.53,79.1,4.72,756.75,2,2.9,Yes,0.31147918104439837,0.6012117277940063,0.7280795172168973,0.7202247191011235,0.4812941520712286
CUST10068,21,Female,North,Basic,66,1.63,447.2,46.0,48.2,44.4,3.65,306.9,1,2.9,No,0.014952841039797557,0.4621876014281078,0.5111821086261981,0.3303370786516854,0.01119215817414202
CUST10069,20,Female,South,Basic,24,1.81,20.0,60.0,64.57,63.0,2.19,357.87,4,3.7,Yes,0.019093627789279963,0.0,0.7048869956218198,0.5393258426966292,0.06445679889645949
CUST10070,24,Female,South,Standard,31,11.22,253.0,48.0,52.15,55.25,4.23,790.66,2,3.3,Yes,0.2355647573038877,0.2520826571459483,0.5579221393917879,0.45224719101123595,0.5167307611921582
CUST10071,20,Male,South,Basic,14,6.95,553.8,20.0,54.88,61.2,1.99,541.07,0,4.0,No,0.137336093857833,0.5775181218219193,0.5902260087563602,0.5191011235955056,0.2559043598210928
CUST10072,50,Female,West,Standard,47,7.87,648.3,42.0,53.45,56.5,3.91,629.36,1,3.3,Yes,0.15850011502185415,0.6797576544411987,0.5733049343272986,0.46629213483146065,0.3481691259457427
CUST10073,24,Male,South,Premium,29,2.82,629.7,26.0,58.46,55.2,1.31,947.8,3,5.0,Yes,0.04232804232804232,0.6596343178621661,0.6325878594249201,0.451685393258427,0.6809451155791498
CUST10074,49,Male,West,Basic,25,6.59,143.4,10.0,82.16,54.1,3.98,440.88,1,3.1,No,0.12905452035886816,0.13350643730390568,0.9130280440184593,0.4393258426966292,0.1512038623918405
CUST10075,27,Male,West,Basic,51,24.59,484.3,39.0,62.57,45.8,2.35,644.51,3,3.3,No,0.5431331953071082,0.5023260846045656,0.6812211572594958,0.34606741573033706,0.3640011704217699
CUST10076,68,Male,South,Basic,30,11.42,612.8,27.0,24.29,47.8,1.67,440.41,0,3.0,Yes,0.24016563146997924,0.6413502109704641,0.22825701100461482,0.3685393258426966,0.1507127032562806
CUST10077,55,Female,West,Basic,34,7.47,131.5,151.0,54.7,78.7,2.56,417.59,2,2.9,No,0.14929836668967103,0.120631829492589,0.5880960833037511,0.7157303370786517,0.12686535969569035
CUST10078,37,Female,East,Standard,32,5.03,428.6,68.0,65.12,53.3,3.11,764.36,0,2.2,No,0.09316770186335405,0.442064264849075,0.711395101171459,0.43033707865168536,0.4892467499895499
CUST10079,40,Female,West,Standard,19,5.17,479.3,40.0,66.04,42.4,2.26,659.41,1,3.9,No,0.09638831377961811,0.4969165855241805,0.722281386818128,0.30786516853932583,0.3795719600384567
CUST10080,21,Female,South,Standard,10,1.68,375.9,29.0,41.6,46.7,3.41,698.8,0,2.8,No,0.016103059581320446,0.3850481445418154,0.43308484203052894,0.3561797752808989,0.4207352756761276
CUST10081,20,Male,South,Standard,60,7.9,96.6,28.0,65.47,72.6,2.16,615.16,2,3.9,No,0.15919024614676786,0.08287352591150059,0.7155366228848656,0.647191011235955,0.3333298499352088
CUST10082,45,Female,South,Standard,7,11.58,371.4,12.0,61.92,65.8,3.48,709.06,2,3.3,No,0.2438463308028525,0.38017959536946877,0.6735297597917406,0.5707865168539326,0.43145717510345694
CUST10083,19,Female,North,Premium,24,2.4,371.1,7.0,86.59,64.0,3.29,872.12,0,3.3,No,0.032666206579250054,0.3798550254246457,0.965447875991007,0.550561797752809,0.601858044559629
CUST10084,51,Male,South,Basic,49,4.35,403.3,13.0,36.75,50.9,2.73,367.05,1,3.5,No,0.07752472969864273,0.4146921995023261,0.3756951840018932,0.40337078651685393,0.0740500773314384
CUST10085,37,Female,West,Basic,10,3.15,328.6,24.0,40.39,64.2,2.31,464.06,2,3.6,No,0.04991948470209339,0.3338742832413719,0.4187670098213229,0.5528089887640449,0.1754274129498809
CUST10086,25,Female,East,Basic,48,3.57,350.3,6.0,43.41,44.7,2.97,417.68,0,2.9,No,0.059581320450885655,0.35735150925024345,0.4545024257484321,0.33370786516853934,0.1269594114450529
CUST10087,45,Female,North,Standard,53,6.92,422.9,17.0,40.65,50.8,3.41,672.97,3,2.8,No,0.13664596273291924,0.4358974358974359,0.421843568808425,0.4022471910112359,0.39374242360907924
CUST10088,46,Female,South,Standard,48,1.72,509.6,21.0,34.65,70.5,5.07,618.14,3,1.0,No,0.01702323441453876,0.5296981499513146,0.35084605372145306,0.6235955056179775,0.3364440078585462
CUST10089,56,Female,North,Basic,22,9.97,375.2,21.0,6.56,69.0,3.83,446.68,2,1.3,No,0.20680929376581547,0.38429081467056153,0.018459353922612703,0.6067415730337079,0.15726497512853743
CUST10090,28,Female,North,Standard,2,10.91,356.3,15.0,41.48,39.3,3.87,731.02,2,2.7,No,0.2284334023464458,0.36384290814670567,0.4316648917287894,0.2730337078651685,0.4544058019479163
CUST10091,46,Male,South,Basic,64,5.68,446.6,19.0,53.54,41.3,6.2,487.14,0,2.5,Yes,0.10812054290315157,0.46153846153846156,0.5743698970536031,0.29550561797752806,0.19954646156418512
CUST10092,61,Female,South,Standard,24,1.33,84.2,82.0,40.6,56.7,3.37,512.6,2,2.4,Yes,0.008051529790660227,0.06945796819214542,0.4212519228493669,0.46853932584269664,0.22615265643940985
CUST10093,32,Male,South,Standard,58,3.5,515.9,39.0,77.03,82.6,3.33,624.25,1,2.9,No,0.05797101449275362,0.5365141187925998,0.8523251686190982,0.7595505617977527,0.3428290766208252
CUST10094,61,Male,East,Standard,15,14.9,429.9,17.0,48.2,24.4,3.57,747.15,0,2.9,No,0.32022084195997236,0.4434707346099751,0.5111821086261981,0.10561797752808987,0.47126196547255783
CUST10095,55,Female,North,Basic,12,1.1,437.1,23.0,67.37,59.5,1.69,400.16,2,4.0,No,0.0027605244996549367,0.4512604132857298,0.7380191693290735,0.5,0.10865067090247883
CUST10096,40,Male,South,Standard,57,5.33,602.9,24.0,51.92,33.0,2.31,703.17,2,4.2,No,0.10006901311249135,0.6306394027913015,0.5552005679801206,0.20224719101123595,0.42530201061739753
CUST10097,63,Female,East,Standard,68,3.1,78.5,14.0,60.4,44.9,2.24,682.31,2,4.1,No,0.04876926616057051,0.06329113924050633,0.6555437226363743,0.3359550561797753,0.40350290515403586
CUST10098,68,Male,East,Basic,62,11.28,74.7,14.0,52.19,49.2,3.51,449.91,1,3.2,No,0.23694501955371514,0.059179919939413614,0.5583954561590344,0.38426966292134834,0.1606403879112152
CUST10099,30,Male,West,Basic,55,4.31,479.3,50.0,68.53,48.3,2.61,395.88,1,3.0,No,0.07660455486542442,0.4969165855241805,0.7517453555792214,0.3741573033707865,0.10417798771057143
CUST10100,68,Male,East,Premium,18,8.69,428.7,18.0,48.84,46.5,2.95,987.64,3,3.1,Yes,0.17736369910282948,0.4421724548306827,0.5187551769021418,0.3539325842696629,0.7225786899636335
CUST10101,18,Male,South,Premium,66,9.66,460.6,11.0,55.44,55.1,4.0,1070.14,2,2.8,No,0.19967793880837356,0.47668505896354,0.5968524434978109,0.450561797752809,0.8087927935459601
CUST10102,24,Female,West,Standard,49,22.06,346.8,24.0,53.49,46.4,3.75,741.1,2,3.0,Yes,0.48493213710605004,0.35356485989397385,0.573778251094545,0.35280898876404493,0.4649395978765206
CUST10103,20,Male,West,Basic,13,5.86,549.6,27.0,43.68,31.6,2.62,430.71,2,3.7,No,0.11226132965263401,0.5729741425943958,0.45769731392734586,0.1865168539325843,0.14057601471387368
CUST10104,37,Female,East,Premium,10,8.54,597.9,6.0,54.07,67.5,2.06,1010.32,2,4.2,Yes,0.1739130434782608,0.6252299037109164,0.580641344219619,0.5898876404494382,0.7462797308029931
CUST10105,66,Female,West,Standard,63,2.55,517.1,24.0,81.52,67.0,4.05,750.12,1,3.7,No,0.03611686220381872,0.5378123985718923,0.9054549757425155,0.5842696629213483,0.4743656732015216
CUST10106,49,Male,West,Standard,20,6.51,383.1,45.0,43.94,68.5,3.65,719.42,2,2.1,No,0.12721417069243152,0.3928378232175701,0.46077387291444794,0.601123595505618,0.44228357647452243
CUST10107,50,Female,West,Standard,56,4.08,50.6,34.0,54.29,30.3,1.03,726.21,1,4.8,No,0.07131354957441913,0.03310613437195716,0.5832445864394745,0.17191011235955056,0.44937925845420734
CUST10108,22,Male,North,Basic,10,4.64,568.5,117.0,66.87,59.8,2.46,494.6,1,4.0,Yes,0.08419599723947548,0.5934220491182517,0.7321027097384925,0.5033707865168539,0.2073423065669022
CUST10109,44,Male,East,Basic,21,6.59,649.9,59.0,65.1,65.8,2.98,435.03,6,2.9,Yes,0.12905452035886816,0.681488694146922,0.7111584427878357,0.5707865168539326,0.1450904986832755
CUST10110,37,Female,South,Premium,21,2.42,546.0,68.0,48.18,38.5,3.66,951.93,3,3.8,No,0.03312629399585921,0.5690793032565185,0.5109454502425748,0.2640449438202247,0.685261045855453
CUST10111,42,Female,East,Standard,21,7.76,271.7,174.0,12.25,55.1,3.8,677.46,2,2.2,No,0.15596963423050375,0.2723141837065888,0.08578866406342445,0.450561797752809,0.3984345608828325
CUST10112,31,Female,East,Basic,49,12.54,551.3,42.0,55.75,53.1,3.11,460.17,2,2.6,No,0.26593052680009194,0.5748133722817267,0.6005206484439711,0.4280898876404495,0.17136228733854456
CUST10113,28,Male,West,Basic,66,8.09,584.9,27.0,14.71,84.5,3.44,494.52,0,2.2,No,0.16356107660455482,0.6111652061019149,0.11489764524908296,0.7808988764044944,0.20725870501191324
CUST10114,67,Male,West,Standard,66,2.38,710.6,49.0,70.05,85.8,2.87,675.99,1,3.2,No,0.03220611916264089,0.7471600129827979,0.7697313927345876,0.7955056179775281,0.39689838230991104
CUST10115,47,Female,South,Basic,54,6.17,272.3,17.0,50.54,28.4,2.06,448.96,5,4.0,No,0.11939268461007589,0.27296332359623504,0.5388711395101171,0.15056179775280898,0.1596476194457217
CUST10116,39,Female,East,Premium,15,10.83,389.2,26.0,63.0,94.9,2.51,952.09,1,2.9,Yes,0.22659305268000915,0.39943741209563993,0.6863093125073956,0.8977528089887641,0.685428248965431
CUST10117,21,Female,East,Standard,70,1.97,564.5,16.0,34.47,40.4,2.82,607.61,0,2.9,Yes,0.022774327122153205,0.5890944498539435,0.3487161282688439,0.2853932584269663,0.3254399531831293
CUST10118,57,Male,South,Standard,40,3.32,440.3,32.0,24.71,70.7,2.76,786.81,3,2.9,No,0.05383022774327121,0.4547224926971763,0.23322683706070288,0.6258426966292135,0.5127074363583163
CUST10119,42,Female,North,Standard,40,11.82,228.9,16.0,51.91,70.5,0.73,710.14,1,3.8,Yes,0.24936737980216236,0.22600887157849184,0.555082238788309,0.6235955056179775,0.43258579609580744
CUST10120,38,Male,North,Standard,51,7.97,504.6,15.0,47.5,39.1,2.36,654.21,1,3.8,No,0.1608005521048999,0.5242886508709294,0.5028990651993847,0.2707865168539326,0.37413785896417684
CUST10121,52,Male,West,Standard,56,8.74,534.2,33.0,40.63,62.9,2.86,780.15,2,3.2,Yes,0.1785139176443524,0.5563128854268096,0.4216069104248018,0.5382022471910112,0.5057476069054885
CUST10122,24,Male,South,Standard,69,22.39,445.8,22.0,49.27,53.3,2.49,798.84,2,2.8,No,0.49252357948010117,0.46067294168559997,0.5238433321500414,0.43033707865168536,0.5252790201897757
CUST10123,45,Male,West,Basic,42,9.07,469.5,6.0,89.51,63.9,2.53,485.22,1,3.5,No,0.18610536001840347,0.4863139673266256,1.0,0.549438202247191,0.197540024244451
CUST10124,62,Female,South,Standard,44,10.25,383.4,9.0,60.52,58.7,3.34,702.91,2,2.0,Yes,0.21325051759834365,0.39316239316239315,0.6569636729381139,0.4910112359550562,0.42503030556368354
CUST10125,42,Male,West,Basic,54,38.94,696.1,11.0,63.74,74.1,1.61,615.11,0,4.0,No,0.8732459167241775,0.7314724656496809,0.6950656727014555,0.6640449438202246,0.3332775989633408
CUST10126,18,Female,South,Standard,19,5.82,267.9,13.0,60.66,56.2,1.01,674.59,1,3.5,No,0.11134115481941567,0.268202964405496,0.6586202816234764,0.4629213483146068,0.3954353550976049
CUST10127,29,Male,West,Basic,23,3.98,324.3,33.0,70.19,52.3,2.42,346.83,1,3.9,No,0.06901311249137335,0.32922211403224066,0.7713880014199502,0.4191011235955056,0.052919784307988126
CUST10128,20,Female,North,Basic,46,8.83,432.0,29.0,45.15,72.5,3.64,447.14,1,2.8,No,0.18058431101909359,0.4457427242237369,0.47509170512365395,0.6460674157303371,0.15774568406972372
CUST10129,44,Male,East,Basic,5,8.89,588.2,52.0,17.18,64.3,4.66,468.62,0,2.3,Yes,0.18196457326892107,0.6147354754949692,0.14412495562655306,0.5539325842696629,0.1801927015842495
CUST10130,36,Male,West,Standard,24,4.75,160.5,42.0,45.17,66.7,3.66,779.28,2,2.1,No,0.08672647803082585,0.1520069241588229,0.47532836350727725,0.5808988764044944,0.504838439994984
CUST10131,24,Male,West,Basic,52,3.42,194.1,52.0,60.18,44.4,1.18,424.25,1,4.2,No,0.05613066482631699,0.18835875797901114,0.6529404804165188,0.3303370786516854,0.13382518914851818
CUST10132,53,Female,West,Premium,71,30.01,63.2,38.0,33.45,38.3,2.54,1000.68,0,4.3,No,0.6678168852081895,0.046738072054527756,0.3366465507040587,0.26179775280898876,0.7362057434268279
CUST10133,27,Male,North,Standard,38,8.27,435.9,28.0,45.35,45.9,3.08,693.45,1,4.3,No,0.16770186335403722,0.4499621335064373,0.4774582889598864,0.347191011235955,0.4151444216862435
CUST10134,35,Female,South,Basic,29,4.15,228.7,53.0,37.62,45.1,3.0,574.57,3,3.8,No,0.07292385553255118,0.22579249161527642,0.38598982368950413,0.3382022471910113,0.2909125109727042
CUST10135,69,Female,North,Standard,32,12.13,360.8,47.0,70.53,67.6,3.39,769.43,1,3.5,Yes,0.2564987347596043,0.3687114573190523,0.7754111939415453,0.5910112359550561,0.4945449985369728
CUST10136,21,Male,North,Basic,50,6.23,549.0,32.0,59.24,70.6,1.79,391.78,2,3.0,No,0.12077294685990336,0.5723250027047496,0.6418175363862265,0.6247191011235954,0.09989340801738911
